"ime","plezalisce","ocena","dolzina"
Passpartout,Sicilija - San Vito Lo Capo,6c+/7a,20 m
Bianca,Sicilija - San Vito Lo Capo,6c,20 m
No Drill Party,Sicilija - San Vito Lo Capo,5b,21 m
Mannara,Sicilija - San Vito Lo Capo,6a,21 m
Scorpione In Letargo,Sicilija - San Vito Lo Capo,6a,21 m
Calze Nere,Sicilija - San Vito Lo Capo,6a+,21 m
My Head Hurts, My Feet...,Sicilija - San Vito Lo Capo,5b,8 m
Evil That Men Do,Sicilija - San Vito Lo Capo,5c,8 m
Cimitero Delle Lumache,Sicilija - San Vito Lo Capo,6a,22 m
Dolores,Sicilija - San Vito Lo Capo,6b,20 m
Mezzi Crucchi,Sicilija - San Vito Lo Capo,6a+,20 m
Miracoli,Sicilija - San Vito Lo Capo,6b+,20 m
Ladri Di Moschettoni,Sicilija - San Vito Lo Capo,6b,19 m
Goatbuster,Sicilija - San Vito Lo Capo,6c+,10 m
Variante X,Sicilija - San Vito Lo Capo,7a,20 m
Ypsilon,Sicilija - San Vito Lo Capo,6a,20 m
Cardo mannaro,Sicilija - San Vito Lo Capo,7c,20 m
No people no stress,Sicilija - San Vito Lo Capo,6c,20 m
La mia ombra,Sicilija - San Vito Lo Capo,7a+,18 m
Non e mai troppo tardi,Sicilija - San Vito Lo Capo,6c,26 m
Cuscino di suocera,Sicilija - San Vito Lo Capo,6c,20 m
Melchiorre,Sicilija - San Vito Lo Capo,6b,15 m
Araba-ttati,Sicilija - San Vito Lo Capo,7b+,16 m
Archeotalpa,Sicilija - San Vito Lo Capo,7b+/c,19 m
Classic Deluxe,Sicilija - San Vito Lo Capo,6a+,28 m
New Years Greetings,Sicilija - San Vito Lo Capo,6a,27 m
Silvester,Sicilija - San Vito Lo Capo,6a,26 m
Guten Rutsch,Sicilija - San Vito Lo Capo,6a+,25 m
A Chardonnay Cowboy,Sicilija - San Vito Lo Capo,6b,25 m
Magic Woman,Sicilija - San Vito Lo Capo,6b,30 m
Intermezzo,Sicilija - San Vito Lo Capo,7a+,30 m
Dreams Got Reality,Sicilija - San Vito Lo Capo,6a,30 m
Vietato Sporgersi,Sicilija - San Vito Lo Capo,6b+,30 m
Tick,Sicilija - San Vito Lo Capo,5a,15 m
Trick,Sicilija - San Vito Lo Capo,5b,15 m
Track,Sicilija - San Vito Lo Capo,5a,16 m
Alligator,Sicilija - San Vito Lo Capo,6b,25 m
Kaiman,Sicilija - San Vito Lo Capo,5c+,30 m
Leguan,Sicilija - San Vito Lo Capo,6a,30 m
Waran,Sicilija - San Vito Lo Capo,6a+,30 m
Kakatus,Sicilija - San Vito Lo Capo,5b,12 m
Ruck zuck,Sicilija - San Vito Lo Capo,5c+,13 m
Arrivederci Ingrid,Sicilija - San Vito Lo Capo,5c+,32 m
Il ritorno,Sicilija - San Vito Lo Capo,5c,28 m
Via kuchenclub,Sicilija - San Vito Lo Capo,5b,26 m
Vai a sinistra,Sicilija - San Vito Lo Capo,5a,25 m
Fessurina,Sicilija - San Vito Lo Capo,5c,25 m
Happy Otzis,Sicilija - San Vito Lo Capo,5c+,20 m
La Piccola,Sicilija - San Vito Lo Capo,5b+,12 m
Il Nonno,Sicilija - San Vito Lo Capo,5c,18 m
La Nonna,Sicilija - San Vito Lo Capo,5b,20 m
La Femmina,Sicilija - San Vito Lo Capo,5b,22 m
Lavoro Di Domenica,Sicilija - San Vito Lo Capo,5c+,30 m
Fur Christian,Sicilija - San Vito Lo Capo,5c+,30 m
Due Giganti Sulla Roccia,Sicilija - San Vito Lo Capo,6a+,30 m
End of an Era,Sicilija - San Vito Lo Capo,5b,14 m
The last dance,Sicilija - San Vito Lo Capo,5b,22 m
Climb easy,Sicilija - San Vito Lo Capo,4b,25 m
Red Arete,Sicilija - San Vito Lo Capo,5c,25 m
Right wall,Sicilija - San Vito Lo Capo,6a,25 m
Lo Stagnone,Sicilija - San Vito Lo Capo,6a,35 m
Tanti Auguri Daniele,Sicilija - San Vito Lo Capo,6b,35 m
Blitz&Donner,Sicilija - San Vito Lo Capo,7a+,35 m
SturmTruppen,Sicilija - San Vito Lo Capo,7b,28 m
SturmTruppen (2nd pitch),Sicilija - San Vito Lo Capo,7b,25 m
Eternit,Sicilija - San Vito Lo Capo,7b,28 m
Eternit (2nd pitch),Sicilija - San Vito Lo Capo,7b,24 m
Ciciulio A.A.,Sicilija - San Vito Lo Capo,7a+,26 m
Ciciulio A.A. (2nd pitch),Sicilija - San Vito Lo Capo,6c,25 m
Dall'alba al tramonto,Sicilija - San Vito Lo Capo,6b+,26 m
Dall'alba al tramonto (2nd pitch),Sicilija - San Vito Lo Capo,6c,25 m
Sposero Pippi Calze Lunghe,Sicilija - San Vito Lo Capo,6a+,20 m
Sposero Pippi Calze Lunghe (2nd pitch),Sicilija - San Vito Lo Capo,6c,28 m
Sposero Pippi Calze Lunghe (3rd pitch),Sicilija - San Vito Lo Capo,P,29 m
Il Ritorno Dei Nomadi,Sicilija - San Vito Lo Capo,6c+,20 m
Cannelloni,Sicilija - San Vito Lo Capo,6b,20 m
Gatto Silvestro,Sicilija - San Vito Lo Capo,6a+,20 m
Il coniglio va a sinistra,Sicilija - San Vito Lo Capo,6b+,22 m
Megghiu pessi ca depressi,Sicilija - San Vito Lo Capo,6b,22 m
Lotta col vento,Sicilija - San Vito Lo Capo,6c,19 m
Un mondo a parte,Sicilija - San Vito Lo Capo,6c+,18 m
I benefattori,Sicilija - San Vito Lo Capo,6a,15 m
Primo trip,Sicilija - San Vito Lo Capo,5b,15 m
Licantropia,Sicilija - San Vito Lo Capo,6a+,22 m
Profondo rosso,Sicilija - San Vito Lo Capo,6c+,24 m
Gayordo,Sicilija - San Vito Lo Capo,7b,25 m
Scassapagghiaru,Sicilija - San Vito Lo Capo,7a+,25 m
Ricotta salata,Sicilija - San Vito Lo Capo,6a/a+,24 m
End of Silence,Sicilija - San Vito Lo Capo,7b,20 m
Sirocco,Sicilija - San Vito Lo Capo,7b+,20 m
Jaegers App,Sicilija - San Vito Lo Capo,7c,20 m
Soundcheck,Sicilija - San Vito Lo Capo,6c+,20 m
Beat Box,Sicilija - San Vito Lo Capo,7b+,20 m
Make Some Noise,Sicilija - San Vito Lo Capo,7a,15 m
Spider,Sicilija - San Vito Lo Capo,5c,15 m
Butterfly,Sicilija - San Vito Lo Capo,5c,15 m
Giant,Sicilija - San Vito Lo Capo,5b,12 m
Bee,Sicilija - San Vito Lo Capo,5a,12 m
Wasp,Sicilija - San Vito Lo Capo,5c,20 m
Pizza,Sicilija - San Vito Lo Capo,2,6 m
Pasta,Sicilija - San Vito Lo Capo,2,6 m
Gelati,Sicilija - San Vito Lo Capo,2,6 m
Senior Moment,Sicilija - San Vito Lo Capo,5b,12 m
Foot Up,Sicilija - San Vito Lo Capo,5b,12 m
Fraenkische,Sicilija - San Vito Lo Capo,5b,12 m
Destination Unknown,Sicilija - San Vito Lo Capo,5c,12 m
One Step Beyond,Sicilija - San Vito Lo Capo,6a,15 m
I Feel Weak,Sicilija - San Vito Lo Capo,7a,15 m
Humpty Dumpty,Sicilija - San Vito Lo Capo,6c,22 m
White Rabbit,Sicilija - San Vito Lo Capo,7a,22 m
Tweedledum,Sicilija - San Vito Lo Capo,6c+,20 m
Mad Hatter,Sicilija - San Vito Lo Capo,6b,20 m
Rabbit Hole,Sicilija - San Vito Lo Capo,6b+/c,15 m
Rabbit hole variante,Sicilija - San Vito Lo Capo,6c,15 m
Delusion,Sicilija - San Vito Lo Capo,6b+,20 m
Conclusion,Sicilija - San Vito Lo Capo,5c+,20 m
Pullution,Sicilija - San Vito Lo Capo,7b+,18 m
Gehe duschen,Sicilija - San Vito Lo Capo,6b,18 m
Solution,Sicilija - San Vito Lo Capo,5a,18 m
Fur Sophia,Sicilija - San Vito Lo Capo,4b,25 m
Susie,Sicilija - San Vito Lo Capo,6a,25 m
Two girls...,Sicilija - San Vito Lo Capo,5a,21 m
Easy Outer,Sicilija - San Vito Lo Capo,5c,22 m
E.J.A.,Sicilija - San Vito Lo Capo,6a+,22 m
Redhead,Sicilija - San Vito Lo Capo,6a+,23 m
Red Planet,Sicilija - San Vito Lo Capo,6a,20 m
Last Orders,Sicilija - San Vito Lo Capo,6a,25 m
JWLG,Sicilija - San Vito Lo Capo,6a+,25 m
Windstorm,Sicilija - San Vito Lo Capo,6b,22 m
Medusa,Sicilija - San Vito Lo Capo,7a+,22 m
Whitewall,Sicilija - San Vito Lo Capo,7a,20 m
Edge,Sicilija - San Vito Lo Capo,5b,20 m
Petra,Sicilija - San Vito Lo Capo,6b,26 m
Lucilla,Sicilija - San Vito Lo Capo,6b,25 m
Panorama,Sicilija - San Vito Lo Capo,6b,25 m
El Baihra,Sicilija - San Vito Lo Capo,5b,22 m
Roasting Meat,Sicilija - San Vito Lo Capo,5c,24 m
Burning Fat,Sicilija - San Vito Lo Capo,5a,18 m
Easter Sacrifice,Sicilija - San Vito Lo Capo,5b,18 m
Fish Mc,Sicilija - San Vito Lo Capo,5c+,20 m
White Shark,Sicilija - San Vito Lo Capo,5b,22 m
Swordfish,Sicilija - San Vito Lo Capo,7a,18 m
Just For Fun,Sicilija - San Vito Lo Capo,4c,20 m
Moonbootica,Sicilija - San Vito Lo Capo,7b+/c,27 m
Kingline,Sicilija - San Vito Lo Capo,P,26 m
Seltsam anmutende vollspacken,Sicilija - San Vito Lo Capo,7a+,30 m
Knochenmanderl,Sicilija - San Vito Lo Capo,7a,28 m
Boandlkramer,Sicilija - San Vito Lo Capo,7a,28 m
In Summe Gelungen,Sicilija - San Vito Lo Capo,6b,28 m
Cat Walk,Sicilija - San Vito Lo Capo,6c/c+,28 m
Shirtcut,Sicilija - San Vito Lo Capo,6a,15 m
Je Heisser umso Scheisser (2nd anch.),Sicilija - San Vito Lo Capo,8a,24 m
Surprise,Sicilija - San Vito Lo Capo,6c,15 m
Je Heisser....,Sicilija - San Vito Lo Capo,P,25 m
Fingerpeeling,Sicilija - San Vito Lo Capo,7b+,25 m
Pilar,Sicilija - San Vito Lo Capo,6a,27 m
Chaos 20,Sicilija - San Vito Lo Capo,6c+,26 m
White Slab,Sicilija - San Vito Lo Capo,6a,28 m
Cha Cha,Sicilija - San Vito Lo Capo,6a,30 m
I like polka,Sicilija - San Vito Lo Capo,6b,34 m
Rumba,Sicilija - San Vito Lo Capo,6a+,30 m
Samba,Sicilija - San Vito Lo Capo,6b,30 m
Wilkinson,Sicilija - San Vito Lo Capo,6a,29 m
Gillette,Sicilija - San Vito Lo Capo,7b,24 m
Red Alert,Sicilija - San Vito Lo Capo,7c+,24 m
Poccahonta's Loveline,Sicilija - San Vito Lo Capo,8a,24 m
Red Peroni,Sicilija - San Vito Lo Capo,6c+,25 m
Dreamworld,Sicilija - San Vito Lo Capo,8a+/b,23 m
San Vito Festival,Sicilija - San Vito Lo Capo,P,26 m
Pipeline,Sicilija - San Vito Lo Capo,7b/b+,28 m
Black Snake,Sicilija - San Vito Lo Capo,7b+,28 m
Rosso E Nero,Sicilija - San Vito Lo Capo,6a+,30 m
Walk The Line,Sicilija - San Vito Lo Capo,7b,30 m
Fun To Funky,Sicilija - San Vito Lo Capo,6b,30 m
Ashes To Ashes,Sicilija - San Vito Lo Capo,6b,30 m
Monsun Wedding,Sicilija - San Vito Lo Capo,7a,30 m
Red Pillar,Sicilija - San Vito Lo Capo,6c,30 m
Tarantula,Sicilija - San Vito Lo Capo,7b,30 m
Blue Elephants,Sicilija - San Vito Lo Capo,7a+,30 m
Green Spiders,Sicilija - San Vito Lo Capo,6a+,30 m
Black Beetle,Sicilija - San Vito Lo Capo,6a+,30 m
Fast Cars and Freedom,Sicilija - San Vito Lo Capo,6c,15 m
Retrobolter,Sicilija - San Vito Lo Capo,6a+,28 m
Thin Red Line,Sicilija - San Vito Lo Capo,6b,29 m
Senza Nome,Sicilija - San Vito Lo Capo,P,25 m
Now it's history,Sicilija - San Vito Lo Capo,6c+,27 m
Ober hit,Sicilija - San Vito Lo Capo,6b+,25 m
Carly,Sicilija - San Vito Lo Capo,5b,10 m
Carly B (2nd anch.),Sicilija - San Vito Lo Capo,6b,25 m
Dumbo,Sicilija - San Vito Lo Capo,5a,10 m
The punchline (2nd anch.),Sicilija - San Vito Lo Capo,6b,25 m
Big ears,Sicilija - San Vito Lo Capo,5a,10 m
Flapper (2nd anch.),Sicilija - San Vito Lo Capo,6a+,25 m
Grumpy,Sicilija - San Vito Lo Capo,5c,8 m
Dozy,Sicilija - San Vito Lo Capo,3,8 m
Dopy,Sicilija - San Vito Lo Capo,2,8 m
Sneezy,Sicilija - San Vito Lo Capo,4a,8 m
Bashful,Sicilija - San Vito Lo Capo,5c,8 m
Doc,Sicilija - San Vito Lo Capo,5c,8 m
Happy,Sicilija - San Vito Lo Capo,6a,8 m
Snow White,Sicilija - San Vito Lo Capo,4a,8 m
Razorhead,Sicilija - San Vito Lo Capo,5c,18 m
Baying for Blood,Sicilija - San Vito Lo Capo,6a+,26 m
¸Pump It Up,Sicilija - San Vito Lo Capo,6b,22 m
Little White Bull,Sicilija - San Vito Lo Capo,5c+,22 m
Tractors in Ukrainian,Sicilija - San Vito Lo Capo,5c,22 m
Via Gogna,Sicilija - San Vito Lo Capo,6a,28 m
Brave Old Way,Sicilija - San Vito Lo Capo,6a,28 m
Straight Into Heaven,Sicilija - San Vito Lo Capo,6b,28 m
Forza,Sicilija - San Vito Lo Capo,6c,27 m
Gratulazioni Rich,Sicilija - San Vito Lo Capo,5c,26 m
Congratulazioni Rich right,Sicilija - San Vito Lo Capo,5c,25 m
Diedro Macari,Sicilija - San Vito Lo Capo,6a+,29 m
Ave,Sicilija - San Vito Lo Capo,5c,28 m
Bella Italia,Sicilija - San Vito Lo Capo,6a,28 m
Pretty men,Sicilija - San Vito Lo Capo,6b,29 m
Pretty Woman,Sicilija - San Vito Lo Capo,6b+,28 m
Sound of Cows,Sicilija - San Vito Lo Capo,6a,27 m
Welcome to Sicily,Sicilija - San Vito Lo Capo,6a+,30 m
Via Della Lucertola,Sicilija - San Vito Lo Capo,5a,15 m
Via Della Lucertola (2nd anch.),Sicilija - San Vito Lo Capo,6b,14 m
Spigolo,Sicilija - San Vito Lo Capo,5b,30 m
Spigolo (2nd anch.),Sicilija - San Vito Lo Capo,5c+,10 m
Joyride,Sicilija - San Vito Lo Capo,5c,20 m
Joyride (2nd anch.),Sicilija - San Vito Lo Capo,6b+,15 m
El Schuppo,Sicilija - San Vito Lo Capo,6a,36 m
Traumpfeiler,Sicilija - San Vito Lo Capo,5c+,27 m
Il Parallelo,Sicilija - San Vito Lo Capo,6b,23 m
Finale Grande,Sicilija - San Vito Lo Capo,6b+,23 m
Hinkfuss,Sicilija - San Vito Lo Capo,6b,23 m
Via Della Grotta,Sicilija - San Vito Lo Capo,6b,25 m
Blutbad,Sicilija - San Vito Lo Capo,6c,25 m
Fakirella,Sicilija - San Vito Lo Capo,6b+,25 m
Festa Siciliana,Sicilija - San Vito Lo Capo,6b+,25 m
Mamy and Lucy,Sicilija - San Vito Lo Capo,6a+,20 m
Mamy and Lucy (2nd anch.),Sicilija - San Vito Lo Capo,7b+,28 m
Fine di Vacanza,Sicilija - San Vito Lo Capo,7b,27 m
Renaissance,Sicilija - San Vito Lo Capo,6a+,26 m
P.G. Careglio,Sicilija - San Vito Lo Capo,6a+,20 m
Caduta Sassi,Sicilija - San Vito Lo Capo,6b,26 m
Via Rossa,Sicilija - San Vito Lo Capo,6a+,26 m
Horst'l Vibes,Sicilija - San Vito Lo Capo,7c,20 m
A Destra e a Sinistra,Sicilija - San Vito Lo Capo,6a,28 m
The Hole,Sicilija - San Vito Lo Capo,6c,27 m
Solo Con Te,Sicilija - San Vito Lo Capo,6a+,28 m
Per i Nostri Amici,Sicilija - San Vito Lo Capo,6a+,28 m
The Wish,Sicilija - San Vito Lo Capo,7c+,28 m
Comes True,Sicilija - San Vito Lo Capo,7c+,30 m
Soundgarden,Sicilija - San Vito Lo Capo,7c,20 m
Soundgarden (2nd anch.),Sicilija - San Vito Lo Capo,8a+,30 m
Ietta sangu,Sicilija - San Vito Lo Capo,7c,30 m
Il Minotauro,Sicilija - San Vito Lo Capo,7b,30 m
Menage a trois,Sicilija - San Vito Lo Capo,7a+,14 m
Lo chiamavano Trinita,Sicilija - San Vito Lo Capo,7c+,20 m
L'uomo delle caverne,Sicilija - San Vito Lo Capo,7c,20 m
Schattenlinie,Sicilija - San Vito Lo Capo,8a,20 m
Schattenkrieger (2nd anch.),Sicilija - San Vito Lo Capo,8b,30 m
Way of light,Sicilija - San Vito Lo Capo,4b,30 m
Das Totenschaf,Sicilija - San Vito Lo Capo,4b,14 m
Das Totenschaf (2nd anch.),Sicilija - San Vito Lo Capo,5c+,28 m
Caveman,Sicilija - San Vito Lo Capo,6b,15 m
Yoshimi battles the pink robots,Sicilija - San Vito Lo Capo,7a,15 m
Straight edge,Sicilija - San Vito Lo Capo,6a,14 m
Deception,Sicilija - San Vito Lo Capo,5b,14 m
Dog bites man,Sicilija - San Vito Lo Capo,6a,15 m
Tre fratelli,Sicilija - San Vito Lo Capo,5b+,18 m
Gabs,Sicilija - San Vito Lo Capo,6a+,30 m
Stevie,Sicilija - San Vito Lo Capo,6b+,30 m
Chris,Sicilija - San Vito Lo Capo,5c+,30 m
Happy Birthday,Sicilija - San Vito Lo Capo,5b,30 m
Diedro Giallo,Sicilija - San Vito Lo Capo,5c,35 m
Il cielo sulla terra,Sicilija - San Vito Lo Capo,5c+,20 m
Sanduhrenparadies,Sicilija - San Vito Lo Capo,6a,20 m
Samuel,Sicilija - San Vito Lo Capo,4b,16 m
Timmy,Sicilija - San Vito Lo Capo,4b+,16 m
Via Egadi,Sicilija - San Vito Lo Capo,4c,16 m
Talia,Sicilija - San Vito Lo Capo,4c+,16 m
Red Corner,Sicilija - San Vito Lo Capo,4c,16 m
La Bella Vita P1,Sicilija - San Vito Lo Capo,4a,10 m
La Bella Vita P2,Sicilija - San Vito Lo Capo,6c,30 m
Allen,Sicilija - San Vito Lo Capo,5b,15 m
Kurt,Sicilija - San Vito Lo Capo,6b,16 m
Lisa,Sicilija - San Vito Lo Capo,6a+,25 m
Dave,Sicilija - San Vito Lo Capo,5c,26 m
Swissmade,Sicilija - San Vito Lo Capo,6c+,30 m
Rothko,Sicilija - San Vito Lo Capo,7b,30 m
Venus,Sicilija - San Vito Lo Capo,7a,30 m
O Brothers P1,Sicilija - San Vito Lo Capo,6a+,20 m
O Brothers P2,Sicilija - San Vito Lo Capo,6c/c+,10 m
Aus Kurz Wird Witzig,Sicilija - San Vito Lo Capo,5c,30 m
Fratello Caldo,Sicilija - San Vito Lo Capo,7a+,25 m
Il Polpo,Sicilija - San Vito Lo Capo,6c,27 m
Il Calamaro P1,Sicilija - San Vito Lo Capo,6b,30 m
Il Calamaro P2,Sicilija - San Vito Lo Capo,6a,10 m
Clean Me,Sicilija - San Vito Lo Capo,6a,30 m
Rumanian Girls,Sicilija - San Vito Lo Capo,6a+,35 m
Grey Wall,Sicilija - San Vito Lo Capo,6a,35 m
Rogers Route P1,Sicilija - San Vito Lo Capo,5b,20 m
Rogers Route P2,Sicilija - San Vito Lo Capo,5b,15 m
Hot September,Sicilija - San Vito Lo Capo,5b,24 m
Papa's Work,Sicilija - San Vito Lo Capo,6a,24 m
Papa's Project,Sicilija - San Vito Lo Capo,6c,22 m
One For Karsten,Sicilija - San Vito Lo Capo,6c+,16 m
Too Scared For Trad,Sicilija - San Vito Lo Capo,7c,15 m
Bolt Product,Sicilija - San Vito Lo Capo,6c+,15 m
Under a Dead Cow,Sicilija - San Vito Lo Capo,5a,17 m
Bridget,Sicilija - San Vito Lo Capo,4c,15 m
The Celestial Way Of The Dead Cow,Sicilija - San Vito Lo Capo,4c+,35 m
Tower Route,Sicilija - San Vito Lo Capo,6a,18 m
Tower Route (2nd pitch),Sicilija - San Vito Lo Capo,6b+,25 m
Sole Mio,Sicilija - San Vito Lo Capo,6a,18 m
Stargate,Sicilija - San Vito Lo Capo,7c,27 m
Tower Route Direct,Sicilija - San Vito Lo Capo,6b+,15 m
Sticky Fingers,Sicilija - San Vito Lo Capo,7b,15 m
Tower Pillar,Sicilija - San Vito Lo Capo,6a,22 m
Tower Ramp,Sicilija - San Vito Lo Capo,5b,22 m
Sky Walk,Sicilija - San Vito Lo Capo,6b,25 m
Anton Aus Tirol,Sicilija - San Vito Lo Capo,6a+,25 m
Luigi,Sicilija - San Vito Lo Capo,5c+,20 m
Il serpente di mare,Sicilija - San Vito Lo Capo,6c,25 m
Grazie Michele,Sicilija - San Vito Lo Capo,6b+,28 m
Red Bull,Sicilija - San Vito Lo Capo,6a,28 m
Toro Rosso,Sicilija - San Vito Lo Capo,6c,38 m
Toro Rosso (2nd anch.),Sicilija - San Vito Lo Capo,6c,40 m
La Fessura,Sicilija - San Vito Lo Capo,5c,30 m
La sicilia della mia infanzia,Sicilija - San Vito Lo Capo,7a,40 m
Destra Di Torro (1st anch.),Sicilija - San Vito Lo Capo,6a,25 m
Destra Di Torro,Sicilija - San Vito Lo Capo,6a+,40 m
Barracuda,Sicilija - San Vito Lo Capo,7a,28 m
Marisol,Sicilija - San Vito Lo Capo,6a+,18 m
Coccodrillo,Sicilija - San Vito Lo Capo,6a,25 m
King For a Day,Sicilija - San Vito Lo Capo,5b,20 m
Matter Of Trust,Sicilija - San Vito Lo Capo,5c,34 m
Scotts Quota,Sicilija - San Vito Lo Capo,5c,10 m
Waiting For Moretti,Sicilija - San Vito Lo Capo,5b,10 m
Sore Fingers, Hot Feet,Sicilija - San Vito Lo Capo,4c,10 m
Arete Route,Sicilija - San Vito Lo Capo,5a,10 m
Face Route,Sicilija - San Vito Lo Capo,5a,12 m
Original Route,Sicilija - San Vito Lo Capo,3,11 m
A Kind Of Madness,Sicilija - San Vito Lo Capo,5a,14 m
Diagonale,Sicilija - San Vito Lo Capo,6b+,35 m
Rapido e facile,Sicilija - San Vito Lo Capo,6b,18 m
Attenzione soffitto,Sicilija - San Vito Lo Capo,6a,16 m
Alex G,Sicilija - San Vito Lo Capo,6a+,24 m
Up and down,Sicilija - San Vito Lo Capo,5b,25 m
I did it my way,Sicilija - San Vito Lo Capo,5c,25 m
Hanging though,Sicilija - San Vito Lo Capo,6b+,25 m
Don Alfredo,Sicilija - San Vito Lo Capo,6b+,18 m
Don Alfredo (2nd pitch),Sicilija - San Vito Lo Capo,6b+,30 m
Accesso,Sicilija - San Vito Lo Capo,5c,15 m
Josef's crack,Sicilija - San Vito Lo Capo,6c+,32 m
Don't disturb the seagull,Sicilija - San Vito Lo Capo,7a,32 m
Accesso in alto,Sicilija - San Vito Lo Capo,3,15 m
Clean Break,Sicilija - San Vito Lo Capo,6c,30 m
Break Time,Sicilija - San Vito Lo Capo,6b+,30 m
Nine o'clock on the Moon,Sicilija - San Vito Lo Capo,6b,27 m
Soap Opera,Sicilija - San Vito Lo Capo,7c,20 m
La scala,Sicilija - San Vito Lo Capo,5c+,30 m
Puntura dell'ape (variante),Sicilija - San Vito Lo Capo,7a+,30 m
Puntura dell'ape,Sicilija - San Vito Lo Capo,7a,30 m
Lo spigolo Marisa,Sicilija - San Vito Lo Capo,6a+,35 m
Long Horn,Sicilija - San Vito Lo Capo,7a,18 m
Big foot,Sicilija - San Vito Lo Capo,7a,18 m
Far ride,Sicilija - San Vito Lo Capo,6c+,26 m
4 stragioni,Sicilija - San Vito Lo Capo,7b,31 m
Far side,Sicilija - San Vito Lo Capo,6b,28 m
Ballerina,Sicilija - San Vito Lo Capo,6c+,32 m
Catch the day,Sicilija - San Vito Lo Capo,8b+,28 m
Catch of the day,Sicilija - San Vito Lo Capo,6c+,28 m
Cassatelle,Sicilija - San Vito Lo Capo,6a,28 m
Buon Natale,Sicilija - San Vito Lo Capo,6c,24 m
Il buongiorno si vede dal mattino,Sicilija - San Vito Lo Capo,7a,24 m
Panettone di guano,Sicilija - San Vito Lo Capo,6c,22 m
Sugar Daddy,Sicilija - San Vito Lo Capo,6b,25 m
Novantanonno,Sicilija - San Vito Lo Capo,6b+,25 m
Ratzinger zeta,Sicilija - San Vito Lo Capo,6c,15 m
Cardinale moratoria,Sicilija - San Vito Lo Capo,7c,15 m
Bando Alla Ciancio,Sicilija - San Vito Lo Capo,6a+,20 m
La crema canela,Sicilija - San Vito Lo Capo,6a+,28 m
The eye,Sicilija - San Vito Lo Capo,7c+,28 m
Falso in bilancia,Sicilija - San Vito Lo Capo,7b+,26 m
U.S.A e getta,Sicilija - San Vito Lo Capo,7c,26 m
Chiappotte,Sicilija - San Vito Lo Capo,6c,26 m
La ladra,Sicilija - San Vito Lo Capo,7b,32 m
La Gattina Ubriaca,Sicilija - San Vito Lo Capo,6c+,25 m
Quanto Crucco Sei!,Sicilija - San Vito Lo Capo,7a,25 m
Bobelo,Sicilija - San Vito Lo Capo,7b,22 m
Sgamone,Sicilija - San Vito Lo Capo,7a+,28 m
Godfather,Sicilija - San Vito Lo Capo,7b+,27 m
Truffatore,Sicilija - San Vito Lo Capo,7b+,28 m
Mani intellettuali,Sicilija - San Vito Lo Capo,7a+,22 m
Don't be a-fred,Sicilija - San Vito Lo Capo,7b+,30 m
Tricheco,Sicilija - San Vito Lo Capo,7a+,30 m
All cats are black at night,Sicilija - San Vito Lo Capo,7b,20 m
Mi puo far accendere,Sicilija - San Vito Lo Capo,8a+,25 m
Mega Dave,Sicilija - San Vito Lo Capo,8a,25 m
Walk the line,Sicilija - San Vito Lo Capo,7b+,25 m
Troppo duci,Sicilija - San Vito Lo Capo,7a,18 m
Training Segreto,Sicilija - San Vito Lo Capo,6c+,17 m
X-tended version (2nd anch.),Sicilija - San Vito Lo Capo,7a,26 m
Bolting in the rain,Sicilija - San Vito Lo Capo,6b+,15 m
Bel Tempo...Bastardo,Sicilija - San Vito Lo Capo,6b,15 m
Überaschungsangriff,Sicilija - San Vito Lo Capo,6b+,30 m
Ponyhof,Sicilija - San Vito Lo Capo,6a,35 m
Das leben ist kein...,Sicilija - San Vito Lo Capo,6b+,35 m
English wonderbra,Sicilija - San Vito Lo Capo,7c+,34 m
Ziggs,Sicilija - San Vito Lo Capo,7c+,30 m
La chittara,Sicilija - San Vito Lo Capo,7c+,18 m
Nella bolla,Sicilija - San Vito Lo Capo,7c,20 m
Scendimelo tutto,Sicilija - San Vito Lo Capo,7a,30 m
Custonaci,Sicilija - San Vito Lo Capo,8b+,32 m
Feistus reglettas,Sicilija - San Vito Lo Capo,7b+,26 m
Frederich,Sicilija - San Vito Lo Capo,7a,26 m
Porcospino,Sicilija - San Vito Lo Capo,7c+,15 m
Tratt,Sicilija - San Vito Lo Capo,7b,33 m
Ten minutes too late,Sicilija - San Vito Lo Capo,8a+,35 m
Bambus,Sicilija - San Vito Lo Capo,6c,30 m
The time has arrived,Sicilija - San Vito Lo Capo,6b+,27 m
Buffalo soldiers,Sicilija - San Vito Lo Capo,8a+,30 m
Keep cool,Sicilija - San Vito Lo Capo,6b+,34 m
Deuterium,Sicilija - San Vito Lo Capo,6a+,20 m
Appetizer,Sicilija - San Vito Lo Capo,6a+,18 m
Signor ratto,Sicilija - San Vito Lo Capo,7c,16 m
Piccolo sherpa,Sicilija - San Vito Lo Capo,6c,18 m
Cannolo scomposto,Sicilija - San Vito Lo Capo,6b+,30 m
Ginger,Sicilija - San Vito Lo Capo,6a,26 m
Don't worry be happy,Sicilija - San Vito Lo Capo,7a+,32 m
Safari,Sicilija - San Vito Lo Capo,7b,30 m
Lasciami uno skizzo,Sicilija - San Vito Lo Capo,6b,35 m
ICI al Vaticano,Sicilija - San Vito Lo Capo,6b,35 m
Baciati dagli angeli,Sicilija - San Vito Lo Capo,6b+,35 m
Il barbagianni,Sicilija - San Vito Lo Capo,6b+,32 m
